하판_RGB,하판_PAC,하판_CS,하판_PI,상판_BM,상판_OC,상판_PI,label
0,80,0,0,80,30,30,1
0,15,50,0,0,80,80,1
0,80,80,50,15,0,0,1
0,50,15,15,0,30,0,1
0,0,0,30,0,0,0,0
15,50,30,0,0,30,0,1
15,0,0,30,0,0,0,0
0,0,30,0,50,30,15,1
0,0,0,0,0,30,0,0
15,15,15,0,50,0,0,0
0,30,30,0,30,0,50,0
50,0,0,0,0,0,0,0
15,50,80,50,15,0,0,1
0,0,0,50,0,15,50,0
0,80,80,80,0,30,30,1
15,100,0,0,0,50,15,0
0,15,30,80,30,0,0,1
0,15,0,30,0,80,0,0
80,80,0,0,0,30,80,1
0,0,0,0,15,0,0,0
0,15,15,0,15,0,0,0
15,0,15,50,50,0,0,1
0,0,15,15,0,15,0,0
0,0,15,30,80,30,0,1
80,15,0,0,0,50,0,0
0,0,50,0,0,0,0,0
80,0,0,15,0,50,0,0
50,0,0,0,0,15,0,1
0,0,30,50,15,15,30,0
0,15,100,15,0,50,0,1
0,0,0,0,80,0,50,1
0,50,0,30,0,0,0,0
0,0,0,15,30,15,0,0
15,0,15,80,0,0,0,1
0,50,0,0,50,30,0,0
0,0,0,0,50,15,0,0
30,50,80,0,0,15,0,1
0,0,0,0,0,30,0,0
30,15,30,0,30,50,0,1
0,0,80,0,50,0,100,1
0,0,0,0,30,0,0,0
15,100,50,15,50,0,15,1
15,0,30,30,0,80,50,1
50,0,100,0,0,0,0,0
15,0,0,15,0,30,80,0
30,0,0,0,0,80,0,0
0,0,0,15,0,0,15,0
0,30,30,0,0,0,0,0
30,0,30,30,30,50,0,1
30,0,0,15,0,0,15,0
100,0,0,0,15,0,0,0
0,0,15,30,15,0,15,0
0,0,15,15,0,15,50,0
30,0,0,0,0,15,0,0
0,0,0,0,15,0,100,0
80,15,0,0,0,30,0,1
50,0,0,0,0,0,0,0
0,0,0,15,0,30,0,0
30,0,0,0,50,0,30,1
30,0,0,0,15,0,0,0
0,0,0,0,50,0,0,0
50,15,0,80,50,0,0,1
0,15,0,15,15,0,0,0
30,30,0,0,50,0,15,1
0,0,0,30,15,0,15,0
50,0,15,0,30,0,50,0
0,50,80,15,0,0,0,0
0,15,0,0,30,0,0,0
50,80,50,0,0,15,0,0
0,0,30,100,80,0,50,1
0,15,0,0,0,0,15,0
80,0,80,0,30,30,0,1
80,50,0,30,30,0,0,1
0,0,0,15,0,0,80,1
15,0,30,0,0,50,15,0
0,80,0,0,0,0,80,1
0,0,30,0,0,0,0,0
0,15,50,15,0,0,100,1
15,0,0,0,30,100,15,1
30,0,50,0,80,0,15,1
30,0,0,0,0,0,0,0
30,0,0,0,30,0,0,0
0,15,0,0,15,0,0,0
0,0,30,0,15,80,100,1
0,0,15,0,50,30,0,0
0,30,30,0,0,30,0,0
0,0,15,15,15,30,0,1
50,0,0,0,0,50,0,0
0,30,0,0,0,0,15,0
0,0,50,30,0,0,0,0
0,30,15,80,0,15,0,1
30,0,30,0,15,15,30,1
15,80,30,0,0,0,15,1
0,50,0,0,0,15,0,0
0,30,0,0,0,0,0,0
15,0,0,0,0,15,0,0
0,15,30,0,50,0,0,0
30,30,0,80,0,0,0,0
15,0,50,0,15,0,50,0
0,0,0,0,15,0,50,0
0,0,50,50,15,80,0,1
100,0,50,0,0,15,80,0
0,0,0,0,0,50,15,0
0,15,30,0,0,0,0,0
30,0,0,0,0,30,0,0
80,0,0,0,0,30,0,0
100,15,50,80,15,50,0,1
30,0,30,0,0,0,30,0
0,15,0,50,0,0,0,0
0,80,80,0,0,15,15,1
30,15,0,0,0,0,0,0
0,0,0,30,30,30,0,0
0,50,15,80,0,30,0,1
50,0,0,0,0,0,0,0
0,0,0,0,0,15,50,0
0,0,30,15,0,0,15,0
0,0,0,15,30,15,80,1
0,0,0,0,0,0,0,0
0,30,0,0,0,100,15,1
0,0,0,0,15,0,0,0
0,0,15,0,30,0,0,0
15,15,0,0,0,30,0,0
15,0,50,0,30,0,0,0
0,30,0,15,0,0,0,0
80,50,0,0,0,0,0,0
0,0,15,0,0,15,0,0
0,0,80,0,30,50,0,1
50,0,0,15,0,0,30,0
0,0,0,0,15,0,0,0
80,0,15,0,80,0,0,1
0,0,50,0,0,0,15,0
80,15,0,0,0,0,15,0
0,0,0,15,0,30,0,0
50,0,0,0,50,0,0,0
0,50,0,100,0,0,0,1
100,0,30,50,0,30,0,1
0,0,30,0,0,0,30,0
0,0,0,0,0,0,0,0
80,0,0,50,0,80,0,1
0,50,0,0,0,50,50,1
15,0,0,0,0,100,15,1
15,0,0,0,0,15,0,0
0,50,0,0,0,0,50,0
15,0,0,0,0,15,30,0
0,80,15,0,100,0,0,1
50,30,0,15,0,30,0,1
0,50,15,80,30,15,0,1
0,15,30,80,30,30,0,1
80,100,80,80,0,0,15,1
50,0,30,0,15,80,0,1
0,15,30,0,80,0,0,1
15,0,0,0,30,0,50,0
0,80,0,0,0,15,0,0
0,0,0,30,15,0,30,0
0,15,50,0,50,0,0,1
0,0,0,0,0,80,15,1
0,50,0,0,0,0,0,1
0,0,0,15,0,80,0,0
80,50,0,30,15,80,0,1
100,15,0,15,30,15,0,1
15,80,0,15,80,0,15,0
0,0,0,30,0,50,30,0
0,0,15,80,0,0,0,0
30,0,0,0,30,0,0,0
15,0,30,0,15,0,30,0
0,0,15,0,30,0,0,0
50,0,50,0,0,30,50,1
30,15,0,15,0,0,15,0
80,0,0,15,30,15,50,1
15,0,0,0,0,30,0,0
15,50,0,0,0,0,0,0
0,0,0,0,0,50,15,0
80,0,0,15,80,50,0,1
50,0,50,0,30,0,0,0
0,15,80,15,50,0,0,1
0,50,50,30,80,0,0,1
0,50,0,50,0,0,0,0
30,50,0,15,0,0,0,0
100,0,30,0,0,0,0,0
0,0,0,50,0,0,15,1
0,15,0,50,80,0,0,1
0,50,0,50,0,0,100,0
80,30,0,30,0,30,0,1
30,0,15,0,0,0,0,0
30,0,0,0,15,0,30,1
0,0,50,0,0,0,0,0
0,0,0,15,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,30,0,100,0
50,15,0,30,0,0,15,0
30,15,50,15,50,0,0,1
100,50,50,80,50,50,0,1
100,0,0,0,0,0,0,0
0,0,0,30,50,0,0,1
30,15,0,0,0,0,0,0
80,0,0,0,80,0,0,1
30,0,0,0,15,0,0,0
0,0,0,0,0,0,0,0
0,15,0,15,0,0,0,0
0,50,80,0,0,0,0,0
80,15,0,0,0,0,80,1
15,0,0,0,15,15,0,0
0,0,30,0,0,0,15,1
15,80,0,15,0,0,0,0
15,15,0,50,0,0,0,0
0,15,0,0,100,0,0,0
0,30,0,0,100,15,0,0
15,50,0,80,50,0,0,1
0,0,0,50,80,0,0,0
30,0,50,0,15,0,0,0
0,0,30,30,100,30,0,1
50,80,0,30,0,15,15,1
0,0,0,0,0,50,0,1
0,0,30,0,50,0,0,1
50,15,15,0,0,50,30,1
0,100,0,0,0,0,0,0
0,0,0,30,0,0,0,0
0,15,0,100,15,15,0,1
30,80,0,0,0,15,50,1
15,0,0,0,0,50,0,0
15,0,0,50,15,15,0,0
0,0,0,0,0,50,15,0
0,30,80,30,0,50,30,1
0,0,0,0,30,0,0,0
0,30,15,0,0,0,50,0
0,0,0,0,0,0,100,0
0,30,0,15,0,0,15,0
0,30,0,0,0,15,15,0
50,15,0,80,0,0,0,0
0,0,30,0,0,0,0,0
0,15,0,0,0,30,30,0
30,0,0,15,80,30,0,1
0,15,15,15,15,30,0,0
15,0,80,0,0,0,0,1
50,15,0,50,30,0,0,1
80,0,0,80,0,0,0,1
0,0,15,15,0,0,15,0
50,0,0,0,0,0,0,0
0,0,0,100,80,0,0,1
0,0,0,0,0,0,0,0
0,15,0,0,0,15,0,0
100,0,0,0,30,0,0,1
0,0,0,0,0,0,30,0
0,0,0,0,0,0,0,0
15,0,0,0,50,0,0,0
0,15,0,0,30,0,50,0
0,0,80,15,0,0,0,0
0,0,0,0,100,0,0,0
0,0,0,0,15,0,0,0
0,0,0,0,0,80,50,1
0,0,0,50,0,0,0,0
15,0,0,0,30,0,0,0
0,0,80,0,0,50,15,1
0,0,80,0,0,50,80,1
50,15,0,15,0,0,0,0
0,50,50,100,15,0,100,1
15,30,0,0,0,0,15,0
0,30,0,0,0,100,30,1
0,0,0,15,0,30,80,1
0,0,0,0,30,0,0,0
0,0,15,15,0,0,0,0
0,0,0,0,50,0,100,0
0,0,0,0,0,15,0,0
0,80,0,0,15,30,100,1
0,30,15,0,100,50,0,1
0,0,0,80,0,30,30,1
0,0,0,15,50,0,0,0
0,0,80,30,30,0,0,0
0,0,0,0,0,0,15,0
15,0,0,0,0,0,50,0
0,15,80,50,0,100,0,1
30,0,30,30,0,0,0,0
15,0,15,0,0,0,0,0
0,0,80,15,15,50,30,1
50,0,0,15,30,0,50,0
50,0,0,0,30,15,100,1
0,0,0,0,15,15,0,0
0,0,15,0,0,50,0,0
30,0,50,0,80,80,30,1
15,0,50,50,15,0,15,1
0,0,0,0,0,0,0,0
0,0,30,0,0,15,0,0
0,0,80,0,0,0,15,0
0,0,15,0,0,0,15,0
15,30,50,0,30,0,0,1
0,0,30,0,0,30,0,0
0,0,0,0,0,0,0,0
15,0,50,0,0,30,15,1
0,0,30,15,15,0,50,1
0,30,0,0,0,0,0,0
15,80,0,0,0,0,0,0
50,0,0,0,15,0,0,0
0,30,0,30,0,15,0,1
0,30,0,50,15,0,30,0
0,30,50,0,15,0,0,0
0,0,0,15,15,15,0,0
0,15,0,0,80,80,0,1
0,0,0,0,0,0,15,0
0,80,30,0,0,15,0,1
0,15,0,50,0,0,0,0
0,0,0,30,15,0,15,0
0,50,0,0,15,30,0,0
0,80,30,0,0,0,50,1
0,0,15,30,0,100,0,1
0,0,0,0,80,15,50,1
50,100,0,0,80,0,0,1
0,0,0,0,0,30,0,0
15,15,0,30,0,15,80,1
30,0,0,0,15,15,0,0
0,0,0,0,30,0,0,1
0,0,0,80,0,0,30,1
0,30,15,80,0,30,0,1
0,0,0,0,0,15,0,0
15,0,0,0,30,50,0,1
0,30,30,100,50,50,0,1
0,0,0,0,0,80,0,0
0,80,15,0,50,0,0,0
0,0,0,100,0,0,0,0
15,30,0,15,80,80,50,1
0,0,0,0,0,0,30,0
0,0,0,15,50,0,15,0
100,15,80,15,0,30,0,1
15,0,0,0,0,0,0,0
0,0,0,15,0,0,15,0
0,0,0,0,0,30,30,1
0,0,0,50,0,0,0,0
0,0,15,0,0,0,15,0
0,80,0,0,50,30,50,1
0,0,15,0,50,0,15,0
0,15,15,30,0,0,0,0
0,0,15,15,15,0,0,0
50,100,80,0,0,0,0,1
0,0,0,80,0,0,0,0
0,0,0,80,15,0,15,0
0,0,0,30,0,0,15,0
100,15,0,0,15,0,0,0
0,0,15,0,0,0,15,0
0,30,0,15,100,0,15,1
80,30,0,30,80,0,0,1
50,0,15,30,0,0,30,0
30,30,0,80,30,30,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,15,0
15,0,0,0,0,15,0,0
50,30,0,0,0,15,0,0
0,0,0,50,0,50,0,0
0,0,0,0,0,0,15,0
0,15,0,50,0,0,0,0
30,50,30,0,30,0,15,0
0,0,15,30,0,50,0,0
0,0,50,15,0,0,15,1
0,0,50,0,0,0,0,0
0,0,15,30,0,15,0,0
0,0,0,0,0,50,0,0
0,0,0,30,30,0,0,0
15,0,0,30,0,0,0,0
0,0,0,0,30,30,0,0
0,15,0,100,100,15,0,1
0,50,0,0,0,100,80,0
0,0,0,0,0,0,0,0
0,0,0,15,0,0,0,0
0,0,0,0,0,50,0,0
0,100,30,0,0,0,0,1
0,30,0,30,15,15,0,0
0,0,0,30,0,50,15,0
100,0,0,0,0,0,0,0
0,0,30,0,0,0,0,0
30,30,15,80,30,50,50,1
0,0,0,15,0,15,80,0
15,15,0,30,30,0,0,1
30,0,0,0,0,0,0,0
0,0,15,0,15,100,15,0
0,0,0,0,0,0,50,0
0,50,0,15,15,30,0,0
0,0,0,0,0,0,0,0
50,30,50,15,30,0,0,1
30,0,0,50,15,0,0,1
80,50,0,15,0,0,15,1
0,0,0,15,15,0,0,0
15,0,30,15,50,0,15,0
80,15,30,0,15,0,0,0
0,0,0,0,50,0,15,0
0,0,15,0,30,0,0,0
15,30,0,0,0,50,0,0
0,0,30,0,0,0,15,0
30,0,0,100,50,0,0,0
0,15,0,0,0,0,0,0
30,15,0,0,0,0,0,0
0,0,80,30,0,0,15,1
0,100,0,0,0,0,0,1
0,15,80,15,0,0,0,0
30,0,0,0,0,0,50,1
15,0,0,0,50,0,0,0
0,0,80,0,0,0,0,0
0,0,0,80,0,80,15,1
50,15,15,0,0,50,0,0
0,0,0,0,15,0,0,0
30,15,50,50,0,0,0,0
0,30,0,0,0,0,0,0
0,50,30,0,0,80,0,0
0,0,0,80,0,0,0,0
0,15,0,0,100,15,0,0
15,100,50,80,0,0,15,1
0,0,15,15,50,0,30,0
0,0,80,0,0,0,50,1
50,0,50,0,0,100,0,1
0,0,0,50,50,0,0,0
0,0,0,0,0,0,50,1
50,50,30,30,50,0,30,1
15,15,0,0,0,30,0,0
0,0,0,0,30,0,0,0
80,0,30,50,0,15,0,0
15,50,0,0,80,0,15,1
0,0,0,30,0,0,0,0
0,0,80,50,0,30,100,1
30,80,0,0,15,15,15,1
15,0,0,0,30,30,15,0
0,0,0,100,0,15,50,1
50,0,50,15,15,30,0,1
30,0,0,0,80,0,0,0
0,15,15,0,0,0,15,0
0,0,15,0,0,30,0,0
0,0,0,15,30,15,0,0
15,0,0,15,0,0,0,0
0,0,50,100,0,0,0,1
0,80,80,30,50,15,0,1
30,0,0,50,100,0,30,1
50,30,0,0,0,15,0,0
0,0,15,0,0,0,100,1
30,0,0,0,30,0,30,0
0,0,0,0,0,0,15,0
30,80,0,0,0,50,80,1
0,0,0,15,0,80,50,0
0,0,0,15,0,15,15,0
30,0,0,0,0,0,0,0
0,0,15,15,0,15,15,0
0,15,30,50,0,0,0,0
15,0,0,0,0,0,0,0
15,0,0,0,0,100,80,1
15,0,0,0,0,0,30,0
15,15,50,0,15,0,80,1
0,0,0,80,0,0,30,1
0,0,0,0,0,100,0,0
0,0,0,0,30,0,0,0
0,0,80,15,0,15,50,1
50,0,50,0,15,15,0,1
0,50,0,15,0,0,0,0
0,0,0,0,0,0,80,0
0,15,0,80,0,0,0,0
80,80,0,50,0,0,0,1
0,0,0,15,50,0,15,0
0,0,0,0,30,50,50,0
0,0,0,0,80,0,0,0
15,80,0,50,100,0,50,1
0,0,0,0,15,15,0,1
50,0,30,50,0,0,30,0
80,0,0,0,0,50,100,1
0,80,15,0,0,0,30,0
15,0,0,0,0,0,0,0
50,0,0,0,15,0,0,0
15,0,0,0,0,0,15,0
0,0,30,50,50,0,15,0
0,15,0,0,0,0,30,0
15,0,0,0,15,30,15,0
0,80,30,15,0,0,30,1
15,0,0,0,15,80,15,1
80,80,0,0,15,0,0,1
50,0,0,0,0,0,15,0
0,0,50,0,0,0,0,0
0,0,0,80,0,15,0,0
100,0,0,15,30,0,0,0
30,15,0,15,0,0,30,0
0,0,15,0,30,0,15,0
50,30,0,30,0,80,0,1
50,0,0,80,0,15,0,0
0,0,0,15,15,80,0,1
0,15,50,0,50,0,0,0
0,0,15,50,100,80,80,1
0,0,0,0,80,0,0,0
0,30,30,30,15,100,0,1
30,15,0,80,0,15,50,1
0,30,0,0,0,0,15,0
0,0,0,50,50,50,0,0
0,0,15,0,0,0,15,0
0,0,0,15,0,0,50,0
50,80,15,80,0,0,0,1
0,80,15,80,15,15,30,1
0,0,0,0,0,0,0,0
15,80,0,50,0,0,0,0
0,50,0,0,0,15,0,0
0,15,0,0,0,0,0,0
0,0,0,30,0,0,15,0
0,0,50,0,0,30,15,0
0,30,50,0,0,0,30,0
0,0,0,15,0,50,0,0
0,15,0,15,0,0,0,0
50,0,0,0,30,80,50,1
0,0,0,15,0,15,50,0
0,0,50,0,15,0,0,0
15,80,0,15,0,0,15,1
0,0,0,30,15,15,0,0
15,30,0,0,0,30,0,0
0,0,0,30,15,0,0,0
80,30,0,0,0,15,0,1
0,0,0,15,15,0,0,0
0,100,50,15,0,0,0,0
0,15,30,15,0,15,0,0
100,15,0,15,50,30,100,1
0,50,0,0,0,50,30,1
0,0,15,0,50,0,0,0
0,0,15,0,0,0,0,0
15,15,0,30,0,80,15,1
0,0,15,30,80,0,0,0
50,30,15,0,0,0,0,0
0,0,0,30,15,15,30,0
0,30,0,30,0,15,15,0
0,100,0,15,0,0,50,1
0,80,0,80,0,0,0,0
0,0,0,50,0,0,0,0
0,0,0,0,0,0,15,0
30,15,0,0,15,15,0,0
0,15,0,80,0,15,50,1
0,0,0,50,50,15,0,0
0,0,0,50,15,0,15,0
0,0,0,80,0,50,15,1
0,50,15,0,0,0,0,0
0,0,0,50,15,0,50,0
0,0,80,0,0,100,30,1
50,15,0,0,0,30,15,0
